"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"実質賃金総額","D建設業","３０人以上","2007.0","98.3","80.9","81.0","82.1","84.3","78.9","139.9","141.9","85.6","84.9","82.3","85.8","150.6"
"実質賃金総額","D建設業","３０人以上","2008.0","108.8","89.8","84.0","84.9","86.8","84.4","154.9","146.9","89.7","87.3","87.4","89.2","219.3"
"実質賃金総額","D建設業","３０人以上","2009.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"実質賃金総額","D建設業","３０人以上","2010.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"実質賃金総額","D建設業","３０人以上","2011.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"実質賃金総額","D建設業","３０人以上","2012.0","126.0","97.5","96.9","120.4","97.9","97.0","213.8","133.5","100.3","96.8","97.8","100.3","261.2"
"実質賃金総額","D建設業","３０人以上","2013.0","127.6","92.5","96.3","132.5","101.6","96.0","185.5","159.0","99.4","98.7","102.0","95.0","269.9"
"実質賃金総額","D建設業","３０人以上","2014.0","132.8","93.7","94.3","164.9","93.3","89.8","273.1","95.0","98.0","90.8","110.1","113.5","276.5"
"実質賃金総額","D建設業","３０人以上","2015.0","117.8","92.8","92.8","97.8","92.0","95.2","125.7","235.0","90.0","88.5","91.2","96.3","214.6"
"実質賃金総額（前年比）","D建設業","３０人以上","2006.0","-0.7","Ｘ","Ｘ","1.4","1.6","-1.9","0.7","-3.0","31.4","-3.1","6.6","-2.7","-25.7"
"実質賃金総額（前年比）","D建設業","３０人以上","2007.0","1.8","Ｘ","Ｘ","-8.7","-2.7","-8.4","59.2","39.4","-27.0","-1.5","-45.9","Ｘ","Ｘ"
"実質賃金総額（前年比）","D建設業","３０人以上","2008.0","10.7","11.0","3.7","3.4","3.0","7.0","10.7","3.5","4.8","2.8","6.2","4.0","45.6"
"実質賃金総額（前年比）","D建設業","３０人以上","2009.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"実質賃金総額（前年比）","D建設業","３０人以上","2010.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"実質賃金総額（前年比）","D建設業","３０人以上","2011.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"実質賃金総額（前年比）","D建設業","３０人以上","2012.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"実質賃金総額（前年比）","D建設業","３０人以上","2013.0","1.3","-5.1","-0.6","10.0","3.8","-1.0","-13.2","19.1","-0.9","2.0","4.3","-5.3","3.3"
"実質賃金総額（前年比）","D建設業","３０人以上","2014.0","4.1","1.3","-2.1","24.5","-8.2","-6.5","47.2","-40.3","-1.4","-8.0","7.9","19.5","2.4"
"実質賃金総額（前年比）","D建設業","３０人以上","2015.0","-11.3","-1.0","-1.6","-40.7","-1.4","6.0","-54.0","147.4","-8.2","-2.5","-17.2","-15.2","-22.4"
"実質賃金総額","E製造業","３０人以上","2005.0","104.2","79.3","81.5","83.7","82.6","81.8","150.0","141.1","85.0","81.7","83.3","83.8","217.1"
"実質賃金総額","E製造業","３０人以上","2006.0","105.7","82.0","85.5","87.5","87.2","83.6","158.2","135.2","86.6","83.2","81.8","82.8","214.3"
"実質賃金総額","E製造業","３０人以上","2007.0","104.5","81.4","81.2","85.7","83.3","82.8","165.0","133.0","81.4","79.2","82.0","86.3","211.4"
"実質賃金総額","E製造業","３０人以上","2008.0","97.1","77.2","79.6","83.1","79.5","81.3","155.0","115.8","77.0","71.2","74.9","77.6","192.8"
"実質賃金総額","E製造業","３０人以上","2009.0","96.2","71.9","74.9","76.1","76.2","76.2","146.6","118.5","80.0","78.0","78.3","89.6","188.3"
"実質賃金総額","E製造業","３０人以上","2010.0","100.0","78.3","79.9","80.1","80.8","80.3","153.9","121.2","81.7","80.7","81.2","95.2","186.8"
"実質賃金総額","E製造業","３０人以上","2011.0","99.8","78.9","81.1","80.1","79.9","80.0","153.7","119.5","82.2","80.1","80.6","93.2","188.6"
"実質賃金総額","E製造業","３０人以上","2012.0","98.7","80.5","81.5","80.7","80.6","79.5","135.6","133.9","83.1","78.1","78.3","85.7","187.8"
"実質賃金総額","E製造業","３０人以上","2013.0","98.5","79.4","79.7","82.7","81.6","77.8","131.2","137.7","82.0","78.9","77.8","84.5","186.8"
"実質賃金総額","E製造業","３０人以上","2014.0","95.9","76.7","77.9","98.1","78.2","74.7","121.1","130.3","82.1","74.3","74.8","88.3","172.3"
"実質賃金総額","E製造業","３０人以上","2015.0","94.8","75.9","75.6","93.6","76.3","73.1","139.3","102.8","81.5","76.1","75.9","81.0","186.6"
"実質賃金総額（前年比）","E製造業","３０人以上","2006.0","1.4","3.4","4.9","4.5","5.6","2.2","5.5","-4.2","1.9","1.8","-1.8","-1.2","-1.3"
"実質賃金総額（前年比）","E製造業","３０人以上","2007.0","-1.1","-0.7","-5.0","-2.1","-4.5","-1.0","4.3","-1.6","-6.0","-4.8","0.2","4.2","-1.4"
"実質賃金総額（前年比）","E製造業","３０人以上","2008.0","-7.1","-5.2","-2.0","-3.0","-4.6","-1.8","-6.1","-12.9","-5.4","-10.1","-8.7","-10.1","-8.8"
"実質賃金総額（前年比）","E製造業","３０人以上","2009.0","-0.9","-6.9","-5.9","-8.4","-4.2","-6.3","-5.4","2.3","3.9","9.6","4.5","15.5","-2.3"
"実質賃金総額（前年比）","E製造業","３０人以上","2010.0","4.0","8.9","6.7","5.3","6.0","5.4","5.0","2.3","2.1","3.5","3.7","6.3","-0.8"
"実質賃金総額（前年比）","E製造業","３０人以上","2011.0","-0.2","0.8","1.5","0.0","-1.1","-0.4","-0.1","-1.4","0.6","-0.7","-0.7","-2.1","1.0"
"実質賃金総額（前年比）","E製造業","３０人以上","2012.0","-1.1","2.0","0.5","0.7","0.9","-0.6","-11.8","12.1","1.1","-2.5","-2.9","-8.0","-0.4"
"実質賃金総額（前年比）","E製造業","３０人以上","2013.0","-0.2","-1.4","-2.2","2.5","1.2","-2.1","-3.2","2.8","-1.3","1.0","-0.6","-1.4","-0.5"
"実質賃金総額（前年比）","E製造業","３０人以上","2014.0","-2.6","-3.4","-2.3","18.6","-4.2","-4.0","-7.7","-5.4","0.1","-5.8","-3.9","4.5","-7.8"
"実質賃金総額（前年比）","E製造業","３０人以上","2015.0","-1.1","-1.0","-3.0","-4.6","-2.4","-2.1","15.0","-21.1","-0.7","2.4","1.5","-8.3","8.3"
"実質賃金総額","F電気・ガス・熱供給・水道業","３０人以上","2005.0","98.3","70.3","70.5","104.1","73.1","71.1","216.2","82.2","71.8","71.9","73.3","90.7","184.1"
"実質賃金総額","F電気・ガス・熱供給・水道業","３０人以上","2006.0","101.3","72.4","76.6","102.1","74.1","73.4","223.5","72.2","72.4","72.3","74.2","74.2","228.5"
"実質賃金総額","F電気・ガス・熱供給・水道業","３０人以上","2007.0","101.6","73.7","80.3","99.8","74.3","74.7","220.4","73.6","73.1","72.5","72.7","73.8","228.5"
"実質賃金総額","F電気・ガス・熱供給・水道業","３０人以上","2008.0","98.9","72.5","72.0","106.2","74.3","73.4","215.7","71.2","71.4","70.4","70.4","71.8","217.4"
"実質賃金総額","F電気・ガス・熱供給・水道業","３０人以上","2009.0","95.6","70.2","70.0","71.3","71.2","73.0","206.7","74.5","71.9","71.9","75.0","75.8","216.1"
"実質賃金総額","F電気・ガス・熱供給・水道業","３０人以上","2010.0","100.0","74.7","74.1","83.4","75.1","75.4","217.5","76.3","74.3","74.8","75.5","76.9","221.7"
"実質賃金総額","F電気・ガス・熱供給・水道業","３０人以上","2011.0","102.1","76.4","75.5","85.5","75.5","74.8","227.8","76.2","76.0","75.3","83.2","78.5","221.5"
"実質賃金総額","F電気・ガス・熱供給・水道業","３０人以上","2012.0","104.7","80.9","81.6","112.0","82.0","82.0","210.2","81.7","81.7","78.2","77.3","80.6","210.1"
"実質賃金総額","F電気・ガス・熱供給・水道業","３０人以上","2013.0","87.5","79.9","81.1","109.4","74.8","76.1","133.3","73.1","72.6","71.4","71.0","72.1","135.1"
"実質賃金総額","F電気・ガス・熱供給・水道業","３０人以上","2014.0","84.6","72.2","72.0","101.1","69.7","70.3","143.4","68.3","68.2","68.4","66.6","70.4","144.1"
"実質賃金総額","F電気・ガス・熱供給・水道業","３０人以上","2015.0","85.9","70.0","70.8","97.6","70.5","69.6","154.8","68.0","69.6","68.2","67.9","69.2","154.2"
"実質賃金総額（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2006.0","3.1","3.0","8.7","-1.9","1.4","3.2","3.4","-12.2","0.8","0.6","1.2","-18.2","24.1"
"実質賃金総額（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2007.0","0.3","1.8","4.8","-2.3","0.3","1.8","-1.4","1.9","1.0","0.3","-2.0","-0.5","0.0"
"実質賃金総額（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2008.0","-2.7","-1.6","-10.3","6.4","0.0","-1.7","-2.1","-3.3","-2.3","-2.9","-3.2","-2.7","-4.9"
"実質賃金総額（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2009.0","-3.3","-3.2","-2.8","-32.9","-4.2","-0.5","-4.2","4.6","0.7","2.1","6.5","5.6","-0.6"
"実質賃金総額（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2010.0","4.6","6.4","5.9","17.0","5.5","3.3","5.2","2.4","3.3","4.0","0.7","1.5","2.6"
"実質賃金総額（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2011.0","2.1","2.3","1.9","2.5","0.5","-0.8","4.7","-0.1","2.3","0.7","10.2","2.1","-0.1"
"実質賃金総額（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2012.0","2.5","5.9","8.1","31.0","8.6","9.6","-7.7","7.2","7.5","3.9","-7.1","2.7","-5.1"
"実質賃金総額（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2013.0","-16.4","-1.2","-0.6","-2.3","-8.8","-7.2","-36.6","-10.5","-11.1","-8.7","-8.2","-10.5","-35.7"
"実質賃金総額（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2014.0","-3.3","-9.6","-11.2","-7.6","-6.8","-7.6","7.6","-6.6","-6.1","-4.2","-6.2","-2.4","6.7"
"実質賃金総額（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2015.0","1.5","-3.0","-1.7","-3.5","1.1","-1.0","7.9","-0.4","2.1","-0.3","2.0","-1.7","7.0"
"実質賃金総額","G情報通信業","３０人以上","2005.0","78.9","59.8","64.0","64.1","65.3","59.2","153.4","66.1","63.5","61.9","66.4","63.3","160.2"
"実質賃金総額","G情報通信業","３０人以上","2006.0","77.7","64.4","65.6","65.9","66.3","62.1","146.6","58.7","60.6","60.4","56.2","64.2","161.2"
"実質賃金総額","G情報通信業","３０人以上","2007.0","79.0","63.9","67.3","71.2","66.7","62.5","145.9","64.5","66.3","64.3","62.2","63.2","149.7"
"実質賃金総額","G情報通信業","３０人以上","2008.0","75.9","68.1","64.5","72.7","65.5","61.9","143.0","55.6","58.3","57.2","59.4","71.3","132.9"
"実質賃金総額","G情報通信業","３０人以上","2009.0","90.2","63.1","74.5","78.1","75.5","73.9","145.2","99.4","73.3","77.9","74.5","75.6","172.4"
"実質賃金総額","G情報通信業","３０人以上","2010.0","100.0","81.0","81.4","83.8","82.1","81.1","184.3","89.6","75.6","86.4","84.6","78.6","191.4"
"実質賃金総額","G情報通信業","３０人以上","2011.0","102.2","94.7","80.4","88.8","79.9","81.9","184.2","98.9","79.5","87.8","83.4","80.8","186.7"
"実質賃金総額","G情報通信業","３０人以上","2012.0","87.4","90.6","73.8","86.0","74.5","73.8","171.4","81.0","70.5","69.5","68.1","67.3","123.4"
"実質賃金総額","G情報通信業","３０人以上","2013.0","75.3","74.3","64.1","78.2","63.2","61.5","137.7","69.7","58.1","58.9","54.0","62.3","120.7"
"実質賃金総額","G情報通信業","３０人以上","2014.0","60.6","56.8","56.5","55.5","52.1","57.6","106.3","52.2","46.6","44.9","43.5","49.5","105.8"
"実質賃金総額","G情報通信業","３０人以上","2015.0","54.3","Ｘ","49.9","56.9","50.8","47.7","69.0","59.9","48.4","51.0","50.6","50.8","73.8"
"実質賃金総額（前年比）","G情報通信業","３０人以上","2006.0","-1.5","7.7","2.5","2.8","1.5","4.9","-4.4","-11.2","-4.6","-2.4","-15.4","1.4","0.6"
"実質賃金総額（前年比）","G情報通信業","３０人以上","2007.0","1.7","-0.8","2.6","8.0","0.6","0.6","-0.5","9.9","9.4","6.5","10.7","-1.6","-7.1"
"実質賃金総額（前年比）","G情報通信業","３０人以上","2008.0","-3.9","6.6","-4.2","2.1","-1.8","-1.0","-2.0","-13.8","-12.1","-11.0","-4.5","12.8","-11.2"
"実質賃金総額（前年比）","G情報通信業","３０人以上","2009.0","18.8","-7.3","15.5","7.4","15.3","19.4","1.5","78.8","25.7","36.2","25.4","6.0","29.7"
"実質賃金総額（前年比）","G情報通信業","３０人以上","2010.0","10.9","28.4","9.3","7.3","8.7","9.7","26.9","-9.9","3.1","10.9","13.6","4.0","11.0"
"実質賃金総額（前年比）","G情報通信業","３０人以上","2011.0","2.2","16.9","-1.2","6.0","-2.7","1.0","-0.1","10.4","5.2","1.6","-1.4","2.8","-2.5"
"実質賃金総額（前年比）","G情報通信業","３０人以上","2012.0","-14.5","-4.3","-8.2","-3.2","-6.8","-9.9","-6.9","-18.1","-11.3","-20.8","-18.3","-16.7","-33.9"
"実質賃金総額（前年比）","G情報通信業","３０人以上","2013.0","-13.8","-18.0","-13.1","-9.1","-15.2","-16.7","-19.7","-14.0","-17.6","-15.3","-20.7","-7.4","-2.2"
"実質賃金総額（前年比）","G情報通信業","３０人以上","2014.0","-19.5","-23.6","-11.9","-29.0","-17.6","-6.3","-22.8","-25.1","-19.8","-23.8","-19.4","-20.5","-12.3"
"実質賃金総額（前年比）","G情報通信業","３０人以上","2015.0","-10.4","Ｘ","-11.7","2.5","-2.5","-17.2","-35.1","14.8","3.9","13.6","16.3","2.6","-30.2"
"実質賃金総額","H運輸業、郵便業","３０人以上","2005.0","127.3","101.5","102.7","107.9","105.0","94.2","204.6","150.2","100.1","95.3","106.0","131.4","228.3"
"実質賃金総額","H運輸業、郵便業","３０人以上","2006.0","132.3","117.0","109.7","107.8","113.1","95.7","227.4","128.7","103.7","105.3","96.2","104.2","278.6"
"実質賃金総額","H運輸業、郵便業","３０人以上","2007.0","109.1","107.1","96.7","97.9","94.2","91.6","124.4","147.3","94.8","91.9","92.5","94.5","176.3"
"実質賃金総額","H運輸業、郵便業","３０人以上","2008.0","105.1","100.7","92.7","95.4","89.8","89.9","126.0","137.2","90.0","87.2","84.6","86.9","180.4"
"実質賃金総額","H運輸業、郵便業","３０人以上","2009.0","95.4","84.0","83.5","83.6","86.8","83.3","104.4","123.4","80.6","79.5","80.3","92.6","163.0"
"実質賃金総額","H運輸業、郵便業","３０人以上","2010.0","100.0","81.1","87.0","84.3","83.7","82.7","119.8","138.6","84.8","84.5","83.7","86.6","183.3"
"実質賃金総額","H運輸業、郵便業","３０人以上","2011.0","103.1","91.0","86.7","83.5","85.7","83.3","114.6","155.6","81.9","81.6","83.7","93.3","197.2"
"実質賃金総額","H運輸業、郵便業","３０人以上","2012.0","104.9","92.1","89.4","88.4","88.6","83.7","141.3","119.9","100.1","86.0","86.6","88.3","196.3"
"実質賃金総額","H運輸業、郵便業","３０人以上","2013.0","113.2","98.2","92.5","100.0","95.3","90.2","153.7","128.5","107.2","92.6","94.5","94.5","210.0"
"実質賃金総額","H運輸業、郵便業","３０人以上","2014.0","115.2","102.1","96.0","104.4","94.7","90.6","158.0","126.9","108.3","92.1","95.7","96.5","216.6"
"実質賃金総額","H運輸業、郵便業","３０人以上","2015.0","119.7","104.4","102.6","103.6","104.2","101.0","111.5","126.5","91.9","88.7","100.2","100.5","300.9"
"実質賃金総額（前年比）","H運輸業、郵便業","３０人以上","2006.0","3.9","15.3","6.8","-0.1","7.7","1.6","11.1","-14.3","3.6","10.5","-9.2","-20.7","22.0"
"実質賃金総額（前年比）","H運輸業、郵便業","３０人以上","2007.0","-17.5","-8.5","-11.9","-9.2","-16.7","-4.3","-45.3","14.5","-8.6","-12.7","-3.8","-9.3","-36.7"
"実質賃金総額（前年比）","H運輸業、郵便業","３０人以上","2008.0","-3.7","-6.0","-4.1","-2.6","-4.7","-1.9","1.3","-6.9","-5.1","-5.1","-8.5","-8.0","2.3"
"実質賃金総額（前年比）","H運輸業、郵便業","３０人以上","2009.0","-9.2","-16.6","-9.9","-12.4","-3.3","-7.3","-17.1","-10.1","-10.4","-8.8","-5.1","6.6","-9.6"
"実質賃金総額（前年比）","H運輸業、郵便業","３０人以上","2010.0","4.8","-3.5","4.2","0.8","-3.6","-0.7","14.8","12.3","5.2","6.3","4.2","-6.5","12.5"
"実質賃金総額（前年比）","H運輸業、郵便業","３０人以上","2011.0","3.1","12.2","-0.3","-0.9","2.4","0.7","-4.3","12.3","-3.4","-3.4","0.0","7.7","7.6"
"実質賃金総額（前年比）","H運輸業、郵便業","３０人以上","2012.0","1.7","1.2","3.1","5.9","3.4","0.5","23.3","-22.9","22.2","5.4","3.5","-5.4","-0.5"
"実質賃金総額（前年比）","H運輸業、郵便業","３０人以上","2013.0","7.9","6.6","3.5","13.1","7.6","7.8","8.8","7.2","7.1","7.7","9.1","7.0","7.0"
"実質賃金総額（前年比）","H運輸業、郵便業","３０人以上","2014.0","1.8","4.0","3.8","4.4","-0.6","0.4","2.8","-1.2","1.0","-0.5","1.3","2.1","3.1"
"実質賃金総額（前年比）","H運輸業、郵便業","３０人以上","2015.0","3.9","2.3","6.9","-0.8","10.0","11.5","-29.4","-0.3","-15.1","-3.7","4.7","4.1","38.9"
"実質賃金総額","I卸売業・小売業","３０人以上","2005.0","128.8","104.3","107.8","111.6","111.4","114.8","136.9","190.1","119.6","116.6","111.2","110.9","210.6"
"実質賃金総額","I卸売業・小売業","３０人以上","2006.0","130.6","109.5","113.2","113.2","117.8","112.3","151.5","163.3","114.7","113.4","122.3","114.9","221.6"
"実質賃金総額","I卸売業・小売業","３０人以上","2007.0","112.8","113.8","105.2","105.1","102.7","103.4","106.4","125.3","105.8","103.2","100.2","101.1","180.8"
"実質賃金総額","I卸売業・小売業","３０人以上","2008.0","106.0","99.4","94.9","92.7","94.9","93.6","146.0","122.7","97.0","89.3","87.5","88.9","165.0"
"実質賃金総額","I卸売業・小売業","３０人以上","2009.0","94.6","87.2","82.2","83.3","88.6","87.0","108.9","107.6","91.8","89.4","87.9","87.5","134.0"
"実質賃金総額","I卸売業・小売業","３０人以上","2010.0","100.0","92.3","90.3","89.6","89.8","92.4","107.4","109.8","95.6","95.4","94.4","95.7","147.6"
"実質賃金総額","I卸売業・小売業","３０人以上","2011.0","109.6","105.0","97.5","92.8","101.6","99.6","121.2","130.3","104.7","101.4","106.5","103.3","151.7"
"実質賃金総額","I卸売業・小売業","３０人以上","2012.0","110.8","109.3","105.7","92.9","99.6","97.7","133.9","130.5","100.2","98.0","94.9","98.7","170.1"
"実質賃金総額","I卸売業・小売業","３０人以上","2013.0","110.0","100.6","98.1","100.1","101.7","97.4","132.9","127.1","99.0","94.9","93.1","93.9","179.3"
"実質賃金総額","I卸売業・小売業","３０人以上","2014.0","108.6","100.4","98.2","100.5","95.2","93.7","132.4","137.0","97.5","92.6","91.0","92.9","170.4"
"実質賃金総額","I卸売業・小売業","３０人以上","2015.0","105.0","101.7","89.3","96.3","98.6","95.0","108.1","145.0","95.8","88.6","97.0","93.7","150.0"
"実質賃金総額（前年比）","I卸売業・小売業","３０人以上","2006.0","1.4","5.0","5.0","1.4","5.7","-2.2","10.7","-14.1","-4.1","-2.7","10.0","3.6","5.2"
"実質賃金総額（前年比）","I卸売業・小売業","３０人以上","2007.0","-13.6","3.9","-7.1","-7.2","-12.8","-7.9","-29.8","-23.3","-7.8","-9.0","-18.1","-12.0","-18.4"
